Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,25.770000,26.040001,25.240000,25.270000,25.174606,46502200
2019-05-17,25.049999,25.420000,24.469999,24.680000,24.586834,67291200
2019-05-20,24.680000,25.520000,24.639999,25.520000,25.423662,54472000
2019-05-21,25.700001,26.490000,25.420000,26.490000,26.389999,57846700
2019-05-22,26.340000,26.469999,25.959999,26.290001,26.290001,48439300
2019-05-23,25.900000,25.920000,25.520000,25.840000,25.840000,49527400
2019-05-24,26.150000,26.360001,25.930000,26.090000,26.090000,35915100
2019-05-27,26.299999,26.540001,26.170000,26.240000,26.240000,33892000
2019-05-28,26.129999,26.799999,26.129999,26.799999,26.799999,60774600
2019-05-29,26.490000,26.709999,26.260000,26.500000,26.500000,43124400
2019-05-30,26.510000,26.860001,25.990000,26.150000,26.150000,71847200
2019-05-31,25.790001,26.270000,25.420000,25.549999,25.549999,63137200
2019-06-03,25.879999,26.320000,25.850000,25.990000,25.990000,53470600
2019-06-04,26.290001,26.370001,26.030001,26.200001,26.200001,37331100
2019-06-05,26.180000,26.290001,25.559999,25.860001,25.860001,65282100
2019-06-06,26.170000,26.629999,25.719999,26.280001,26.280001,87836900
2019-06-07,26.690001,26.830000,26.370001,26.760000,26.760000,52235500
2019-06-10,26.600000,26.889999,26.520000,26.650000,26.650000,39666800
2019-06-11,26.889999,27.290001,26.709999,27.160000,27.160000,52437000
2019-06-12,27.020000,27.120001,26.639999,26.850000,26.850000,43392200
2019-06-13,27.150000,27.389999,27.080000,27.180000,27.180000,48981600
2019-06-14,27.200001,27.250000,26.900000,27.000000,27.000000,38425400
