Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,26.799999,26.820000,26.520000,26.730000,26.629093,37820300
2019-05-03,26.900000,27.070000,26.850000,26.850000,26.748642,33334800
2019-05-06,26.389999,26.770000,26.360001,26.770000,26.668943,31715900
2019-05-07,26.650000,26.660000,26.120001,26.350000,26.250528,52454400
2019-05-08,26.309999,27.469999,26.290001,27.370001,27.266680,71780300
2019-05-09,27.100000,27.120001,26.639999,26.830000,26.728716,46663300
2019-05-10,26.870001,26.920000,26.420000,26.680000,26.579283,33336000
2019-05-13,26.209999,26.469999,25.820000,25.900000,25.802227,43146100
2019-05-14,26.170000,26.230000,25.850000,26.000000,25.901850,34968600
2019-05-15,25.740000,25.889999,25.660000,25.879999,25.782303,37053900
2019-05-16,25.770000,26.040001,25.240000,25.270000,25.174606,46502200
2019-05-17,25.049999,25.420000,24.469999,24.680000,24.586834,67291200
2019-05-20,24.680000,25.520000,24.639999,25.520000,25.423662,54472000
2019-05-21,25.700001,26.490000,25.420000,26.490000,26.389999,57846700
2019-05-22,26.340000,26.469999,25.959999,26.290001,26.290001,48439300
2019-05-23,25.900000,25.920000,25.520000,25.840000,25.840000,49527400
2019-05-24,26.150000,26.360001,25.930000,26.090000,26.090000,35915100
2019-05-27,26.299999,26.540001,26.170000,26.240000,26.240000,33892000
2019-05-28,26.129999,26.799999,26.129999,26.799999,26.799999,60774600
2019-05-29,26.490000,26.709999,26.260000,26.500000,26.500000,43124400
2019-05-30,26.510000,26.860001,25.990000,26.150000,26.150000,71847200
2019-05-31,25.790001,26.270000,25.420000,25.549999,25.549999,63137200
